probe,logFC,AveExpr,t,P.Value,adj.P.Val,B,gds,type
230633_at,-0.179507769131739,2.50491701049001,-5.39511079652903,1.11769799834151e-05,0.0436500986138013,3.18879942013389,GDS4358,lo
224344_at,-0.200771889250019,2.66327427904952,-5.35396230795405,1.24649771458966e-05,0.0454348416967931,3.09553178595014,GDS4358,lo
1560486_at,0.331640360402791,2.66644609966339,5.32169578718584,1.35787183959244e-05,0.0464010267685728,3.02229788813017,GDS4358,up
220047_at,-0.265065794046289,2.5519614444966,-5.24087324805322,1.68284461078057e-05,0.0541232524084869,2.83849942510811,GDS4358,lo
215264_at,-0.358686941595625,2.69230702559797,-5.20293855512371,1.86131701785147e-05,0.0565375044172385,2.75206508936719,GDS4358,lo
238183_at,-0.26481836186882,2.63065064130942,-5.14578334985567,2.16679931929337e-05,0.0623525014644028,2.62164958012167,GDS4358,lo
232787_at,-0.182595602971521,2.84498559196881,-5.11504685384585,2.35141612788506e-05,0.0632091709641468,2.55142796740943,GDS4358,lo
221128_at,-0.152319534920381,2.73073141143469,-5.08805364271273,2.5265347292305e-05,0.0632091709641468,2.48971062845969,GDS4358,lo
223738_s_at,-0.131005733203356,2.74198285694836,-5.06594359528614,2.67968568701347e-05,0.0632091709641468,2.43912630438088,GDS4358,lo
221650_s_at,-0.125724512757484,2.87245198861998,-5.02654646071273,2.97603729454281e-05,0.0632091709641468,2.34892427608355,GDS4358,lo
205389_s_at,-0.246389787219427,2.51951387979824,-5.02580234405643,2.98194017907606e-05,0.0632091709641468,2.34721977628488,GDS4358,lo
239918_at,-0.163953733533813,2.70252388586647,-5.02511424324737,2.98740915384468e-05,0.0632091709641468,2.34564356259631,GDS4358,lo
1564344_at,-0.134474655947323,2.63643796967388,-5.02280560616225,3.00583163249715e-05,0.0632091709641468,2.34035505041636,GDS4358,lo
1561073_at,0.184368200972193,2.43071493548981,5.00456964310526,3.15541298395892e-05,0.063880985743625,2.298571371131,GDS4358,up
1555781_at,-0.147405505728579,2.67027059633961,-4.98219274756689,3.34919810565148e-05,0.063880985743625,2.2472769669002,GDS4358,lo
1555605_x_at,-0.172033463178056,2.72497496484906,-4.97783613806887,3.38829188214929e-05,0.063880985743625,2.23728752355368,GDS4358,lo
229709_at,-0.320656611073528,2.53404345908612,-4.9648075491788,3.50795358493909e-05,0.0639324540855149,2.20740843237307,GDS4358,lo
221653_x_at,-0.144477220066935,3.11717243947024,-4.94831597529866,3.66551377744012e-05,0.0641002945151196,2.16957636557414,GDS4358,lo
1558139_at,-0.278470201724224,2.64535942951797,-4.93959899333701,3.75164046544824e-05,0.0641002945151196,2.14957451839558,GDS4358,lo
225301_s_at,-0.180434636068474,2.68529144625212,-4.9227694534983,3.92369940183595e-05,0.0650085650895093,2.11094850007296,GDS4358,lo
234129_at,-0.207246754202858,2.36505781546765,-4.90996599101235,4.05987218104668e-05,0.0652863269113903,2.08155498312052,GDS4358,lo
204826_at,-0.129716460712942,2.98596056251974,-4.89756853515118,4.1962353016899e-05,0.0655511900342557,2.05308730665952,GDS4358,lo
1561626_at,-0.12930686982362,2.70630820319882,-4.88000585648657,4.39729875675741e-05,0.0667839748682532,2.012748870307,GDS4358,lo
215081_at,-0.263309471926747,2.58691348956148,-4.85973644463292,4.64136722878206e-05,0.0668070973472139,1.96617951756479,GDS4358,lo
226834_at,-0.248144582303163,2.37633280228021,-4.85958829246635,4.64320018142501e-05,0.0668070973472139,1.96583908204212,GDS4358,lo
225754_at,-0.167822933406322,2.77131201882333,-4.83168301035588,5.00168841593823e-05,0.0701198241388263,1.90170312248685,GDS4358,lo
202385_s_at,-0.119933762840153,3.10308497916894,-4.78348521956053,5.68728526488337e-05,0.0736615508742043,1.7908722306487,GDS4358,lo
1569746_s_at,-0.169715728398664,2.70177496328076,-4.77836210577093,5.76547241935943e-05,0.0736615508742043,1.77908790059141,GDS4358,lo
232065_x_at,-0.161675895862518,2.43088684945529,-4.76393592147307,5.99146015194555e-05,0.0736615508742043,1.74590091901611,GDS4358,lo
211364_at,-0.140787685866879,2.69991328594374,-4.76379665104808,5.99368443643679e-05,0.0736615508742043,1.74558050764865,GDS4358,lo
222954_at,-0.298186839935595,2.60933672957907,-4.76346122530788,5.99904490035844e-05,0.0736615508742043,1.74480881130643,GDS4358,lo
227194_at,-0.178223375749974,2.61505461725683,-4.74980526062281,6.22139828276556e-05,0.0736615508742043,1.71338908798574,GDS4358,lo
215781_s_at,-0.166855906116833,2.41418507288771,-4.74898629074711,6.23499192500068e-05,0.0736615508742043,1.71150466654289,GDS4358,lo
234728_s_at,-0.205441662071405,2.71485828295006,-4.73193321372375,6.52488702446881e-05,0.0736615508742043,1.672262955474,GDS4358,lo
234763_at,-0.142430363991718,2.53729171249066,-4.73163109062033,6.53014257100059e-05,0.0736615508742043,1.67156767189442,GDS4358,lo
232859_s_at,-0.205897214596886,2.84455888843636,-4.72405929097347,6.66324674705943e-05,0.0736615508742043,1.65414192893287,GDS4358,lo
208510_s_at,-0.157801103242739,2.54639286905016,-4.69305593603957,7.237110684376e-05,0.0736615508742043,1.58278035175235,GDS4358,lo
242108_at,0.178409721936163,2.87243249038566,4.68805001257819,7.33428867329812e-05,0.0736615508742043,1.57125661864262,GDS4358,up
203004_s_at,-0.143377324068101,2.86391768079655,-4.68645900010706,7.36544632192304e-05,0.0736615508742043,1.56759400292113,GDS4358,lo
230331_at,-0.238740377177568,2.34311289168342,-4.68521702558912,7.38986037296753e-05,0.0736615508742043,1.56473487134272,GDS4358,lo
235528_at,-0.125141484138102,2.93396720667814,-4.6826570559523,7.4404379896688e-05,0.0736615508742043,1.55884153623629,GDS4358,lo
1555006_at,-0.109734845290709,2.60865360084667,-4.67565037797922,7.58064372695642e-05,0.0736615508742043,1.54271094389122,GDS4358,lo
235258_at,-0.308136021845357,2.53621861321331,-4.66955731070035,7.70470956854816e-05,0.0736615508742043,1.52868314507129,GDS4358,lo
1562388_at,-0.170585540093931,2.74829031431909,-4.66658406041498,7.76598391211832e-05,0.0736615508742043,1.52183780380222,GDS4358,lo
243856_at,-0.332330215626434,2.5093954405919,-4.66426471253124,7.81411970864902e-05,0.0736615508742043,1.51649787858788,GDS4358,lo
209928_s_at,-0.285905392550395,2.5406858118677,-4.64585396298559,8.20692943711492e-05,0.075033341914014,1.47410812363796,GDS4358,lo
221083_at,-0.236432547387847,2.45117985424894,-4.64461266936286,8.23411159550222e-05,0.075033341914014,1.471249997826,GDS4358,lo
1566277_at,-0.188666284964819,2.62876996503181,-4.63598793334019,8.42547431614586e-05,0.0755184931533238,1.45139086700523,GDS4358,lo
230145_at,-0.129061409192925,2.43861011293258,-4.62971162173384,8.56751363379438e-05,0.0755530335367271,1.43693881743359,GDS4358,lo
1552760_at,-0.346163359523423,2.44205431406193,-4.62149242935073,8.75713986311328e-05,0.0759994638120188,1.41801263728169,GDS4358,lo
